label,centroid-0,centroid-1,centroid-2,co_dots,r_dots,fr_dots,sum
1,9,61,597,0,2,3,5
2,9,56,577,0,1,1,2
3,6,69,571,1,1,1,3
4,6,96,582,1,1,2,4
6,6,159,603,2,3,1,6
7,6,164,552,2,1,0,3
8,6,176,519,2,1,4,7
9,6,188,472,1,1,0,2
10,14,272,490,3,1,2,6
11,8,405,456,0,2,4,6
13,6,225,466,0,2,3,5
14,8,355,415,1,1,1,3
15,5,230,535,0,0,1,1
18,7,575,280,0,0,1,1
20,15,64,513,0,2,0,2
21,5,177,88,0,0,1,1
24,12,324,524,4,7,5,16
25,5,333,597,0,0,1,1
26,16,446,412,1,1,0,2
28,6,529,563,1,0,1,2
29,14,546,394,0,0,1,1
30,17,582,319,0,0,1,1
31,11,627,436,1,1,1,3
33,6,798,605,1,1,0,2
35,14,230,494,0,1,0,1
38,16,437,524,0,3,0,3
39,17,597,351,0,1,0,1
41,11,642,615,0,0,1,1
43,10,682,360,1,0,0,1
44,10,696,533,1,1,0,2
46,14,723,545,2,0,0,2
48,12,455,521,1,1,2,4
49,13,527,396,0,1,1,2
51,7,732,488,0,0,1,1
52,7,581,407,0,0,1,1
55,21,826,356,0,0,1,1
57,14,590,518,0,1,0,1
59,15,45,143,1,0,0,1
61,13,640,295,1,0,1,2
63,25,950,126,1,1,1,3
64,20,341,607,0,0,1,1
