label,centroid-0,centroid-1,centroid-2,co_dots,r_dots,fr_dots,sum
1,5,142,599,0,1,0,1
2,5,168,560,0,3,0,3
3,8,192,454,2,1,2,5
4,9,180,661,0,2,0,2
6,5,210,758,0,1,0,1
7,16,234,413,0,1,0,1
8,7,292,765,9,3,0,12
9,13,303,722,1,0,2,3
12,15,315,723,2,1,0,3
13,9,365,815,2,1,1,4
14,12,423,479,0,0,1,1
15,4,422,821,2,0,1,3
16,4,443,837,3,3,1,7
17,7,458,553,0,1,0,1
18,3,451,810,0,2,5,7
19,10,462,727,1,1,0,2
21,7,497,827,3,0,1,4
22,6,765,400,2,4,6,12
23,10,778,552,0,0,1,1
24,12,247,713,1,2,4,7
26,11,312,560,1,0,2,3
27,10,640,480,2,0,0,2
28,10,541,649,0,0,1,1
29,15,330,692,1,0,0,1
30,26,347,755,1,0,1,2
32,16,382,708,0,0,1,1
33,16,391,779,0,0,1,1
35,14,132,719,1,0,0,1
38,13,257,612,0,1,1,2
