label,centroid-0,centroid-1,centroid-2,co_dots,r_dots,fr_dots,sum
1,9,570,452,0,0,1,1
2,10,742,685,4,2,2,8
4,6,243,602,1,0,0,1
5,10,361,65,0,0,1,1
6,7,469,305,0,1,0,1
7,10,744,480,0,3,0,3
8,8,715,509,0,1,0,1
9,7,1013,609,4,0,0,4
10,10,41,333,2,4,0,6
11,6,310,161,0,1,0,1
12,12,370,389,1,0,1,2
14,10,598,588,1,0,0,1
15,7,613,460,0,1,0,1
16,8,636,86,1,1,0,2
17,19,628,501,1,2,1,4
18,7,627,217,1,1,0,2
20,12,706,483,0,2,0,2
22,12,309,654,0,1,0,1
27,10,684,332,0,1,1,2
28,8,702,420,1,1,0,2
30,13,710,623,1,1,1,3
31,14,707,245,0,1,0,1
34,17,788,611,0,2,0,2
36,10,141,202,0,0,1,1
37,10,299,338,1,5,2,8
38,16,358,689,4,1,1,6
39,11,386,74,1,0,0,1
41,19,484,456,0,1,0,1
43,10,633,322,0,3,1,4
44,15,756,663,0,1,0,1
45,10,581,557,1,0,0,1
49,18,823,504,1,1,0,2
50,19,552,474,1,0,1,2
52,8,729,323,0,2,0,2
53,10,999,626,0,2,0,2
54,12,676,676,1,0,0,1
56,18,763,636,2,4,1,7
57,20,870,533,1,2,1,4
58,26,419,585,0,1,0,1
59,18,852,533,0,1,0,1
60,21,831,394,1,1,0,2
62,20,815,486,0,3,1,4
64,24,997,520,0,2,0,2
66,27,687,538,0,0,1,1
