label,centroid-0,centroid-1,centroid-2,co_dots,r_dots,fr_dots,sum
1,11,117,623,2,3,0,5
2,6,216,429,1,1,0,2
3,6,385,298,1,2,1,4
5,16,505,519,0,1,1,2
6,8,568,320,1,2,0,3
7,6,612,350,1,2,0,3
8,12,584,296,2,3,1,6
9,8,651,495,0,2,0,2
12,15,304,384,0,2,0,2
13,6,372,701,0,3,1,4
14,9,475,512,0,2,0,2
16,9,770,476,0,2,0,2
17,6,781,511,1,4,0,5
18,8,10,710,0,2,0,2
19,9,231,679,0,3,0,3
20,9,245,819,3,1,0,4
21,14,321,669,1,5,1,7
23,5,752,538,1,0,0,1
25,14,78,478,1,1,0,2
26,15,452,751,0,0,1,1
28,6,494,730,0,1,1,2
29,12,89,606,1,1,0,2
30,15,169,509,0,2,0,2
31,8,215,720,0,4,0,4
33,12,463,623,0,1,0,1
34,19,540,676,1,1,3,5
35,13,558,529,0,2,0,2
36,9,643,321,0,2,0,2
37,13,760,591,0,1,0,1
40,10,454,481,1,1,1,3
41,11,577,686,1,1,1,3
43,13,494,322,1,0,0,1
45,11,105,359,2,0,2,4
46,12,224,729,0,1,1,2
47,13,742,279,1,2,0,3
48,12,255,743,2,2,3,7
49,18,299,578,0,4,0,4
50,15,447,327,0,1,0,1
51,7,705,488,0,1,0,1
52,11,802,487,0,1,1,2
53,12,248,694,1,1,1,3
56,8,447,505,0,3,0,3
57,17,547,502,0,1,1,2
58,13,758,525,2,1,0,3
61,16,1001,291,1,0,0,1
63,10,473,519,0,1,0,1
64,19,177,160,1,1,1,3
