label,centroid-0,centroid-1,centroid-2,co_dots,r_dots,fr_dots,sum
1,10,171,772,1,0,1,2
2,7,206,713,1,3,1,5
3,13,693,392,2,1,0,3
4,10,863,401,3,1,4,8
7,17,573,495,0,0,1,1
8,12,830,388,2,3,0,5
11,9,56,779,1,1,1,3
13,10,124,300,0,1,2,3
14,16,261,660,1,3,0,4
15,9,261,689,1,0,1,2
16,13,345,565,0,5,1,6
17,6,355,580,0,5,1,6
18,6,393,508,1,1,1,3
19,14,401,544,2,8,2,12
20,10,446,574,2,5,1,8
23,8,656,531,0,0,1,1
24,5,827,329,0,1,0,1
26,10,864,490,0,0,2,2
27,8,937,252,0,0,1,1
31,15,1,782,0,1,0,1
32,9,59,377,1,0,0,1
35,16,247,591,1,0,0,1
37,11,312,524,0,0,1,1
38,5,357,502,0,0,1,1
39,13,364,609,2,3,4,9
40,6,396,591,0,3,0,3
42,11,451,532,0,2,1,3
43,22,534,530,0,0,1,1
44,11,594,566,0,2,0,2
46,11,939,358,2,0,0,2
47,7,971,417,0,1,3,4
48,8,68,743,0,0,1,1
51,4,188,505,1,3,0,4
52,14,223,648,0,1,1,2
55,5,707,370,0,0,1,1
56,12,800,434,0,1,0,1
57,21,832,233,1,0,0,1
58,10,1009,308,1,1,1,3
61,16,620,480,2,0,1,3
62,9,673,311,0,0,1,1
64,11,700,469,0,1,0,1
67,21,585,528,1,0,0,1
68,12,124,90,0,0,2,2
70,19,605,498,0,0,1,1
72,12,310,550,0,1,2,3
74,24,400,585,1,0,0,1
75,18,471,553,1,0,3,4
77,22,186,609,0,0,1,1
