label,centroid-0,centroid-1,centroid-2,co_dots,r_dots,fr_dots,sum
1,2,57,377,0,0,1,1
3,7,312,860,2,0,1,3
4,6,348,660,0,1,2,3
6,5,373,811,0,0,3,3
7,10,381,588,0,1,0,1
8,7,397,806,1,3,3,7
9,12,390,566,0,0,1,1
11,10,410,844,1,0,2,3
12,11,479,651,3,0,0,3
15,9,517,310,2,0,0,2
17,5,518,564,0,0,1,1
19,10,564,341,3,0,3,6
20,4,535,405,1,0,1,2
22,17,569,389,0,0,1,1
25,1,608,204,0,1,0,1
27,5,606,658,0,1,0,1
28,21,594,266,0,1,1,2
29,13,609,326,0,1,2,3
30,3,610,217,0,0,1,1
32,7,742,959,0,0,1,1
37,7,621,305,1,1,4,6
39,6,333,877,0,0,1,1
41,4,498,569,0,0,1,1
44,7,693,208,1,0,0,1
46,6,835,231,0,0,1,1
47,13,285,496,0,0,2,2
48,12,590,763,1,0,0,1
49,10,171,940,0,6,7,13
54,17,520,474,0,0,2,2
55,9,530,929,1,0,0,1
56,24,645,265,0,0,1,1
57,19,924,526,1,2,0,3
58,11,97,409,0,0,1,1
60,12,123,938,1,0,0,1
61,10,686,342,0,0,1,1
63,22,241,467,0,1,1,2
65,18,778,154,0,1,1,2
68,14,300,894,0,0,1,1
69,20,694,158,0,1,2,3
71,19,262,511,1,0,0,1
73,24,747,176,0,2,3,5
