label,centroid-0,centroid-1,centroid-2,co_dots,r_dots,fr_dots,sum
1,5,73,252,0,1,0,1
2,7,79,423,1,1,0,2
4,2,161,314,1,1,1,3
5,6,180,267,1,0,0,1
6,5,226,241,0,2,0,2
7,6,188,333,1,0,0,1
8,7,187,318,0,0,1,1
9,3,227,311,1,0,1,2
10,5,250,242,2,2,1,5
11,4,254,332,0,1,0,1
12,6,295,312,1,1,0,2
13,7,273,269,1,1,1,3
14,5,304,232,1,1,0,2
15,14,318,214,2,1,0,3
18,6,350,268,0,1,0,1
19,6,378,937,1,0,0,1
20,7,378,247,1,0,0,1
22,10,436,507,0,1,0,1
27,15,552,586,0,2,1,3
29,12,565,256,0,0,1,1
30,7,553,391,1,0,1,2
31,6,587,403,2,0,0,2
32,12,600,696,2,0,0,2
33,6,579,919,0,1,0,1
36,13,611,139,0,0,1,1
37,11,643,365,0,1,0,1
38,9,643,320,0,2,1,3
39,4,681,255,1,3,2,6
40,3,691,902,1,0,0,1
42,4,766,904,1,0,0,1
43,8,798,761,0,0,1,1
44,12,875,685,0,1,0,1
48,6,987,427,2,1,1,4
49,7,1006,443,0,1,2,3
50,5,1011,400,1,0,1,2
51,13,253,224,1,2,2,5
56,7,504,248,1,1,1,3
60,3,679,284,1,0,1,2
61,1,683,297,0,1,1,2
62,7,710,368,1,0,0,1
63,16,746,662,1,0,0,1
65,5,884,854,0,2,0,2
69,12,318,933,4,1,0,5
70,28,531,571,0,1,0,1
72,16,829,674,0,1,2,3
73,16,359,227,0,1,2,3
74,8,402,158,1,1,1,3
75,12,514,630,0,1,0,1
76,19,363,161,0,0,1,1
77,18,910,703,0,0,1,1
78,13,125,415,0,0,3,3
81,13,272,186,1,0,0,1
82,21,487,380,1,1,1,3
83,12,529,623,0,0,1,1
85,17,214,229,0,1,0,1
87,17,446,180,0,1,1,2
91,24,809,738,0,0,2,2
92,28,718,398,0,0,1,1
93,25,768,784,1,0,1,2
94,16,558,185,0,1,0,1
95,24,77,451,0,1,1,2
96,29,506,199,0,1,0,1
98,20,469,170,0,3,0,3
99,28,509,179,1,1,0,2
100,24,784,376,0,1,0,1
101,26,606,171,0,1,1,2
