label,centroid-0,centroid-1,centroid-2,co_dots,r_dots,fr_dots,sum
1,9,149,420,0,1,1,2
3,9,273,698,0,1,0,1
4,7,264,379,0,1,0,1
6,8,305,464,0,0,1,1
7,10,329,406,1,3,0,4
8,10,384,395,2,1,0,3
10,11,470,647,0,0,1,1
14,6,518,423,1,0,2,3
15,5,550,348,1,0,0,1
17,3,274,290,0,4,0,4
18,4,350,356,0,1,0,1
21,4,185,660,0,1,0,1
22,9,323,190,1,0,0,1
23,29,390,551,0,1,0,1
27,8,402,455,0,1,1,2
28,10,703,563,1,0,0,1
29,9,975,320,2,8,3,13
30,14,399,597,0,2,2,4
31,11,571,635,1,0,0,1
33,9,935,317,1,3,3,7
41,21,389,359,0,1,0,1
42,16,64,515,1,0,0,1
43,23,416,116,0,2,2,4
45,19,926,270,0,2,1,3
