label,centroid-0,centroid-1,centroid-2,co_dots,r_dots,fr_dots,sum
1,12,84,84,1,0,1,2
2,9,350,643,0,2,1,3
3,12,395,157,2,4,3,9
4,12,391,359,0,1,2,3
5,8,414,271,3,0,1,4
6,19,417,378,1,0,0,1
7,11,418,489,2,3,3,8
8,10,417,404,2,1,0,3
10,18,395,204,1,0,0,1
11,13,432,429,3,2,3,8
13,6,543,278,0,1,0,1
14,12,638,533,1,2,2,5
16,11,908,419,1,1,1,3
18,7,150,408,1,1,0,2
20,16,238,576,0,2,2,4
21,11,494,524,0,1,2,3
22,10,576,550,2,0,0,2
23,22,797,442,0,0,1,1
25,14,965,481,1,1,0,2
26,8,968,389,0,1,0,1
27,21,953,502,0,1,0,1
30,14,196,553,1,2,2,5
31,16,373,472,3,1,0,4
32,7,425,378,0,0,1,1
33,13,533,325,1,2,0,3
35,10,202,214,1,0,0,1
36,23,271,165,2,0,0,2
37,18,348,262,0,2,0,2
38,19,392,243,2,0,0,2
39,16,496,334,0,1,2,3
40,22,210,197,0,1,0,1
42,19,287,142,0,1,1,2
43,19,306,173,3,4,2,9
44,17,421,585,1,1,0,2
