,tree size,count of 0 false positives,Percent of 0 false positives
0,10,2472,0.4944
1,20,2141,0.4282
2,30,2556,0.5112
3,40,2500,0.5
4,50,2383,0.4766
5,60,2233,0.4466
6,70,2099,0.4198
7,80,2051,0.4102
8,90,2353,0.4706
9,100,2386,0.4772
10,110,2291,0.4582
11,120,2102,0.4204
12,130,2171,0.4342
13,140,2366,0.4732
14,150,2746,0.5492
15,160,2568,0.5136
16,170,2685,0.537
17,180,3134,0.6268
18,190,2950,0.59
19,200,2910,0.582
20,210,2751,0.5502
21,220,2956,0.5912
22,230,3048,0.6096
23,240,3031,0.6062
24,250,2988,0.5976
25,260,2937,0.5874
26,270,2979,0.5958
27,280,2993,0.5986
28,290,2858,0.5716
29,300,2757,0.5514
30,310,2718,0.5436
31,320,2787,0.5574
32,330,3103,0.6206
33,340,3124,0.6248
34,350,3044,0.6088
35,360,3004,0.6008
36,370,2939,0.5878
37,380,2949,0.5898
38,390,3011,0.6022
39,400,2909,0.5818
40,410,2994,0.5988
41,420,2977,0.5954
42,430,2943,0.5886
43,440,2866,0.5732
44,450,2846,0.5692
45,460,2776,0.5552
46,470,2715,0.543
47,480,2911,0.5822
48,490,2870,0.574
49,500,2961,0.5922
50,510,2965,0.593
51,520,3252,0.6504
52,530,3191,0.6382
53,540,2899,0.5798
54,550,2874,0.5748
55,560,3101,0.6202
56,570,3065,0.613
57,580,3003,0.6006
58,590,3057,0.6114
59,600,3011,0.6022
60,610,2983,0.5966
61,620,3237,0.6474
62,630,3406,0.6812
63,640,3238,0.6476
64,650,3521,0.7042
65,660,3238,0.6476
66,670,3455,0.691
67,680,3486,0.6972
68,690,3425,0.685
69,700,3361,0.6722
70,710,3310,0.662
71,720,3279,0.6558
72,730,3292,0.6584
73,740,3196,0.6392
74,750,3286,0.6572
75,760,3238,0.6476
76,770,3290,0.658
77,780,3267,0.6534
78,790,3287,0.6574
79,800,3334,0.6668
80,810,3287,0.6574
81,820,3395,0.679
82,830,3387,0.6774
83,840,3196,0.6392
84,850,3285,0.657
85,860,3244,0.6488
86,870,3206,0.6412
87,880,3242,0.6484
88,890,3122,0.6244
89,900,3141,0.6282
90,910,3136,0.6272
91,920,3221,0.6442
92,930,3094,0.6188
93,940,3159,0.6318
94,950,3133,0.6266
95,960,3267,0.6534
96,970,3215,0.643
97,980,3320,0.664
98,990,3255,0.651
99,1000,3303,0.6606
