,tree size,count of 0 false positives,Percent of 0 false positives
0,10,109,0.0218
1,20,336,0.0672
2,30,347,0.0694
3,40,658,0.1316
4,50,770,0.154
5,60,1075,0.215
6,70,417,0.0834
7,80,1692,0.3384
8,90,975,0.195
9,100,520,0.104
10,110,720,0.144
11,120,968,0.1936
12,130,1452,0.2904
13,140,824,0.1648
14,150,519,0.1038
15,160,1050,0.21
16,170,764,0.1528
17,180,1094,0.2188
18,190,747,0.1494
19,200,782,0.1564
20,210,1223,0.2446
21,220,720,0.144
22,230,969,0.1938
23,240,743,0.1486
24,250,760,0.152
25,260,1379,0.2758
26,270,948,0.1896
27,280,758,0.1516
28,290,632,0.1264
29,300,731,0.1462
30,310,1127,0.2254
31,320,919,0.1838
32,330,569,0.1138
33,340,688,0.1376
34,350,884,0.1768
35,360,842,0.1684
36,370,1050,0.21
37,380,816,0.1632
38,390,598,0.1196
39,400,965,0.193
40,410,929,0.1858
41,420,938,0.1876
42,430,790,0.158
43,440,530,0.106
44,450,742,0.1484
45,460,947,0.1894
46,470,804,0.1608
47,480,1021,0.2042
48,490,715,0.143
49,500,645,0.129
50,510,1157,0.2314
51,520,978,0.1956
52,530,879,0.1758
53,540,875,0.175
54,550,589,0.1178
55,560,658,0.1316
56,570,948,0.1896
57,580,913,0.1826
58,590,654,0.1308
59,600,721,0.1442
60,610,784,0.1568
61,620,842,0.1684
62,630,1077,0.2154
63,640,837,0.1674
64,650,720,0.144
65,660,735,0.147
66,670,829,0.1658
67,680,792,0.1584
68,690,847,0.1694
69,700,680,0.136
70,710,665,0.133
71,720,895,0.179
72,730,886,0.1772
73,740,776,0.1552
74,750,935,0.187
75,760,804,0.1608
76,770,671,0.1342
77,780,785,0.157
78,790,762,0.1524
79,800,747,0.1494
80,810,886,0.1772
81,820,764,0.1528
82,830,643,0.1286
83,840,950,0.19
84,850,914,0.1828
85,860,847,0.1694
86,870,839,0.1678
87,880,682,0.1364
88,890,652,0.1304
89,900,916,0.1832
90,910,880,0.176
91,920,737,0.1474
92,930,779,0.1558
93,940,820,0.164
94,950,809,0.1618
95,960,1047,0.2094
96,970,861,0.1722
97,980,718,0.1436
98,990,756,0.1512
99,1000,815,0.163
