,tree size,count of 0 false positives,Percent of 0 false positives
0,10,2881,0.5762
1,20,3363,0.6726
2,30,3461,0.6922
3,40,3178,0.6356
4,50,3169,0.6338
5,60,3480,0.696
6,70,3192,0.6384
7,80,3463,0.6926
8,90,3768,0.7536
9,100,3830,0.7659999999999999
10,110,3975,0.795
11,120,3997,0.7994
12,130,3882,0.7764
13,140,4046,0.8092
14,150,4061,0.8122
15,160,4051,0.8102
16,170,3950,0.79
17,180,3928,0.7856
18,190,3859,0.7718
19,200,3799,0.7598
20,210,4120,0.8240000000000001
21,220,3871,0.7742
22,230,3979,0.7958
23,240,3988,0.7976
24,250,3945,0.789
25,260,3927,0.7854
26,270,3901,0.7802
27,280,3871,0.7742
28,290,3798,0.7596
29,300,3941,0.7882
30,310,3875,0.775
31,320,3916,0.7832
32,330,4131,0.8262
33,340,4126,0.8252
34,350,4098,0.8196
35,360,4073,0.8146
36,370,4134,0.8268
37,380,3986,0.7972
38,390,4084,0.8168
39,400,4301,0.8602
40,410,4258,0.8516
41,420,4340,0.868
42,430,4320,0.8640000000000001
43,440,4301,0.8602
44,450,4289,0.8578
45,460,4264,0.8528
46,470,4307,0.8614
47,480,4289,0.8578
48,490,4307,0.8614
49,500,4250,0.85
50,510,4276,0.8552
51,520,4218,0.8436
52,530,4227,0.8454
53,540,4244,0.8488
54,550,4228,0.8456
55,560,4251,0.8502
56,570,4218,0.8436
57,580,4209,0.8418
58,590,4387,0.8774
59,600,4172,0.8344
60,610,4170,0.8340000000000001
61,620,4140,0.828
62,630,4374,0.8748
63,640,4148,0.8296
64,650,4132,0.8264
65,660,4437,0.8874
66,670,4130,0.826
67,680,4181,0.8362
68,690,4723,0.9446
69,700,4440,0.888
70,710,4378,0.8756
71,720,4576,0.9152
72,730,4403,0.8806
73,740,4586,0.9172
74,750,4434,0.8868
75,760,4418,0.8836
76,770,4663,0.9326
77,780,4654,0.9308
78,790,4650,0.93
79,800,4658,0.9316
80,810,4660,0.932
81,820,4683,0.9366
82,830,4609,0.9218
83,840,4610,0.922
84,850,4660,0.932
85,860,4632,0.9264
86,870,4580,0.9159999999999999
87,880,4663,0.9326
88,890,4610,0.922
89,900,4637,0.9274
90,910,4613,0.9226
91,920,4582,0.9164
92,930,4597,0.9194
93,940,4626,0.9252
94,950,4603,0.9206
95,960,4592,0.9184
96,970,4545,0.909
97,980,4599,0.9198
98,990,4535,0.907
99,1000,4577,0.9154
