,RR,BB,MgMg,AA,RB,RMg,RA,BA,AMg,BMg
rod,0.03616796031528648,0.06050019459433631,0.0,0.07012540621468248,0.08943163638662996,0.013342337187357136,-0.023834921338326095,-0.2346932272059771,0.0,-0.09708674871376674
amacrine,0.07377214222180689,0.0,0.0,0.0,0.0,0.2943986081785576,0.0,0.0,0.0,0.0
bipolar,-0.10321478309075992,0.0,0.0,0.0,0.0,0.0,0.1315399593275043,0.4855099059998417,0.0,0.24535815797934626
Muller glia,0.09884819740639908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
