,RR,BB,MgMg,AA,RB,RMg,RA,BA,AMg,BMg
rod,0.0002371447132973623,-0.0020962301804371445,-0.001625087619591582,0.00144794814762337,-0.0009975908156636903,0.0004101737824362832,0.0010603378679801601,-0.00036586334604176335,-0.0007221664448902681,-0.0004233825726270737
amacrine,0.001062197263662843,0.0023151875492478397,0.021959681318972378,-0.001039952584343678,0.00027087474797680896,-0.003478801908025879,-0.0028828481625881998,0.0006876203575355515,-0.0006769636002875173,0.006200705327275964
bipolar,-0.0016925995411591003,0.005591822476155802,-0.017463822866709333,-0.0055749707314527355,0.0037825349787598372,0.00015193350701336444,-0.001648707954504597,0.0028934126759473026,0.00868243199696757,-0.002451192243403165
Muller glia,0.0008346214894845015,0.0037211678028223646,0.014768603004463587,0.0008775504781491122,-0.0032094064018403333,0.00426523139222762,0.0024369390783868885,-0.007484200529139625,-0.020897721934726703,-0.004003930560792736
