,RR,BB,MgMg,AA,RB,RMg,RA,BA,AMg,BMg
rod,-0.00011216310599375486,-0.0005111039168993155,0.00043902734399062156,-0.00017635419974501188,-0.0006767193681384292,0.0013888997011571524,0.00028886123437295763,0.0012502581553297412,-0.0014298515187042627,-0.0007955193261822141
amacrine,-0.0012597639199239067,0.004741050829611205,0.010394271967758393,0.009067152106574721,0.00234905182548062,-0.004929659329871363,-9.685171215277154e-05,-0.0005499921674564738,0.006138116238357691,0.0004071755790839359
bipolar,0.0013919003083661618,-0.004252880987861508,-0.008274196353960603,-0.0022867169249781464,-5.531550139357115e-05,-0.0002551005913360923,-0.0007914537605088071,-0.006450694852937665,-4.862984282779035e-05,0.0016411317805245323
Muller glia,-0.00021460393992512114,0.008560712622103804,-0.012629580126923326,-0.018691443324682578,0.00048700459341903074,-0.0039803545530413785,-0.00023645259175184905,0.006161430689531139,0.004661745807066873,0.0057257688228131275
